,0,1,2
0,-90.0,-30.0,1495077490000.0
1,-90.0,-29.0,1527074000000.0
2,-90.0,-28.0,1546132650000.0
3,-90.0,-27.0,1549407220000.0
4,-90.0,-26.0,1534614830000.0
5,-90.0,-25.0,1500496530000.0
6,-90.0,-24.0,1447251940000.0
7,-90.0,-23.0,1376832060000.0
8,-90.0,-22.0,1292910070000.0
9,-90.0,-21.0,1200638000000.0
10,-90.0,-20.0,1105946210000.0
11,-90.0,-19.0,1014795990000.0
12,-90.0,-18.0,932470587000.0
13,-90.0,-17.0,863082250000.0
14,-90.0,-16.0,809442935000.0
15,-90.0,-15.0,773200544000.0
16,-90.0,-14.0,755145572000.0
17,-90.0,-13.0,755503071000.0
18,-90.0,-12.0,769380581000.0
19,-90.0,-11.0,805658100000.0
20,-90.0,-10.0,858416022000.0
21,-90.0,-9.0,925620371000.0
22,-90.0,-8.0,1004142590000.0
23,-90.0,-7.0,1089765180000.0
24,-90.0,-6.0,1177439440000.0
25,-90.0,-5.0,1261792000000.0
26,-90.0,-4.0,1337766050000.0
27,-90.0,-3.0,1401199260000.0
28,-90.0,-2.0,1449218280000.0
29,-90.0,-1.0,1480364130000.0
30,-90.0,0.0,1494498540000.0
31,-90.0,1.0,1492543600000.0
32,-90.0,2.0,1476126970000.0
33,-90.0,3.0,1447196880000.0
34,-90.0,4.0,1410012020000.0
35,-90.0,5.0,1367835930000.0
36,-90.0,6.0,1322890300000.0
37,-90.0,7.0,1276923480000.0
38,-90.0,8.0,1231270710000.0
39,-90.0,9.0,1186914890000.0
40,-90.0,10.0,1144551900000.0
41,-90.0,11.0,1104645850000.0
42,-90.0,12.0,1067480380000.0
43,-90.0,13.0,1030901200000.0
44,-90.0,14.0,999439073000.0
45,-90.0,15.0,970863739000.0
46,-90.0,16.0,945076961000.0
47,-90.0,17.0,921940591000.0
48,-90.0,18.0,901294850000.0
49,-90.0,19.0,882959843000.0
50,-89.0,-30.0,1495885810000.0
51,-89.0,-29.0,1527050400000.0
52,-89.0,-28.0,1545110550000.0
53,-89.0,-27.0,1547214390000.0
54,-89.0,-26.0,1531108260000.0
55,-89.0,-25.0,1495606230000.0
56,-89.0,-24.0,1441035060000.0
57,-89.0,-23.0,1369495700000.0
58,-89.0,-22.0,1284861720000.0
59,-89.0,-21.0,1192401170000.0
60,-89.0,-20.0,1098128820000.0
61,-89.0,-19.0,1008011120000.0
62,-89.0,-18.0,927255036000.0
63,-89.0,-17.0,859855585000.0
64,-89.0,-16.0,808498823000.0
65,-89.0,-15.0,774725370000.0
66,-89.0,-14.0,759245570000.0
67,-89.0,-13.0,762221494000.0
68,-89.0,-12.0,778568401000.0
69,-89.0,-11.0,817324884000.0
70,-89.0,-10.0,872302182000.0
71,-89.0,-9.0,941289570000.0
72,-89.0,-8.0,1020964110000.0
73,-89.0,-7.0,1106947340000.0
74,-89.0,-6.0,1194093710000.0
75,-89.0,-5.0,1277032270000.0
76,-89.0,-4.0,1350803650000.0
77,-89.0,-3.0,1411416330000.0
78,-89.0,-2.0,1456204020000.0
79,-89.0,-1.0,1483922080000.0
80,-89.0,0.0,1494622670000.0
81,-89.0,1.0,1489378870000.0
82,-89.0,2.0,1469913500000.0
83,-89.0,3.0,1438460020000.0
84,-89.0,4.0,1399563620000.0
85,-89.0,5.0,1356122820000.0
86,-89.0,6.0,1310287720000.0
87,-89.0,7.0,1263741440000.0
88,-89.0,8.0,1217759810000.0
89,-89.0,9.0,1173274490000.0
90,-89.0,10.0,1130937190000.0
91,-89.0,11.0,1091173940000.0
92,-89.0,12.0,1054236280000.0
93,-89.0,13.0,1017891850000.0
94,-89.0,14.0,986755957000.0
95,-89.0,15.0,958527373000.0
96,-89.0,16.0,933094359000.0
97,-89.0,17.0,910309851000.0
98,-89.0,18.0,890003653000.0
99,-89.0,19.0,871993049000.0
100,-88.0,-30.0,1496317560000.0
101,-88.0,-29.0,1526723250000.0
102,-88.0,-28.0,1543886470000.0
103,-88.0,-27.0,1544950510000.0
104,-88.0,-26.0,1527688590000.0
105,-88.0,-25.0,1490985290000.0
